experiment_id,hypothesis_id,git_sha,dataset_version,universe_version,birth_model_version,factor_version,calibration_version,split_version,train_period,validation_period,oos_period,horizon,random_seed,created_at,result_status,oos_used,parameters,result_reasons,metrics,research_reuse_warning,registry_version
OOS3D--HYP-BZ-RAW-001--listing_open_v1,HYP-BZ-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_open_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:24,INVALID_CONTROL,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""bazi""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G3 未通过：以下负对照与真实事件集合 Jaccard > 0.9，对照失效：None, None。事件集合几乎等同于「整个面板」时，任何对照都无法区分真实与随机。""]","{""cohen_d"": 0.007966511681135172, ""event_count"": 3366, ""excess_up_rate"": 0.448595, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.021427, ""mean_return"": -0.021917, ""median_return"": -0.005727, ""pending_fdr"": false, ""permutation_p"": 0.03980099502487562, ""sample_count"": 3132, ""std_return"": 0.182047, ""up_rate"": 0.47765, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-BZ-RAW-001--listing_close_v1,HYP-BZ-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_close_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:25,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""bazi""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": 0.009551987405625026, ""event_count"": 3285, ""excess_up_rate"": 0.451507, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.021138, ""mean_return"": -0.021238, ""median_return"": -0.005126, ""pending_fdr"": false, ""permutation_p"": 0.024875621890547265, ""sample_count"": 3052, ""std_return"": 0.182335, ""up_rate"": 0.479358, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-BZ-RAW-001--ipo_approx_v1,HYP-BZ-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,ipo_approx_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:26,INVALID_CONTROL,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""bazi""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G3 未通过：以下负对照与真实事件集合 Jaccard > 0.9，对照失效：None, None。事件集合几乎等同于「整个面板」时，任何对照都无法区分真实与随机。""]","{""cohen_d"": 0.01189132612493707, ""event_count"": 3366, ""excess_up_rate"": 0.450016, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.020725, ""mean_return"": -0.021359, ""median_return"": -0.005882, ""pending_fdr"": false, ""permutation_p"": 0.004975124378109453, ""sample_count"": 3131, ""std_return"": 0.181212, ""up_rate"": 0.476206, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-BZ-CAL-001--listing_open_v1,HYP-BZ-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_open_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:28,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""bazi""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": 0.03962183539319973, ""event_count"": 896, ""excess_up_rate"": 0.445247, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.015716, ""mean_return"": -0.01529, ""median_return"": -0.008, ""pending_fdr"": false, ""permutation_p"": 0.08955223880597014, ""sample_count"": 831, ""std_return"": 0.184775, ""up_rate"": 0.474128, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-BZ-CAL-001--listing_close_v1,HYP-BZ-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_close_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:29,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""bazi""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": 0.029773927634710238, ""event_count"": 930, ""excess_up_rate"": 0.440503, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.017395, ""mean_return"": -0.017134, ""median_return"": -0.00839, ""pending_fdr"": false, ""permutation_p"": 0.15422885572139303, ""sample_count"": 874, ""std_return"": 0.198435, ""up_rate"": 0.464531, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-BZ-CAL-001--ipo_approx_v1,HYP-BZ-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,ipo_approx_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:31,WEAK_EVIDENCE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""bazi""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G8 未通过：有效年数 4，正向年份比例 0.25，符号一致性 0.75"", ""全部有效对照均被击败，但强度/稳健性条件未全部满足，只能记为弱证据。""]","{""cohen_d"": 0.05853175416395196, ""event_count"": 894, ""excess_up_rate"": 0.453875, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.01231, ""mean_return"": -0.011217, ""median_return"": 0.001754, ""pending_fdr"": false, ""permutation_p"": 0.04975124378109453, ""sample_count"": 813, ""std_return"": 0.181458, ""up_rate"": 0.506765, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-ZW-RAW-001--listing_open_v1,HYP-ZW-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_open_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:32,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""ziwei""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": 0.0203655873568172, ""event_count"": 831, ""excess_up_rate"": 0.454305, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.019228, ""mean_return"": -0.020977, ""median_return"": -0.004566, ""pending_fdr"": false, ""permutation_p"": 0.24875621890547264, ""sample_count"": 755, ""std_return"": 0.172588, ""up_rate"": 0.486093, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-ZW-RAW-001--listing_close_v1,HYP-ZW-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_close_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:33,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""ziwei""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": 0.0026484371965475044, ""event_count"": 1067, ""excess_up_rate"": 0.440452, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.022394, ""mean_return"": -0.023873, ""median_return"": -0.00901, ""pending_fdr"": false, ""permutation_p"": 0.46766169154228854, ""sample_count"": 974, ""std_return"": 0.169049, ""up_rate"": 0.463039, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-ZW-RAW-001--ipo_approx_v1,HYP-ZW-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,ipo_approx_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:34,WEAK_EVIDENCE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""ziwei""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G8 未通过：有效年数 4，正向年份比例 0.25，符号一致性 0.75"", ""G7 未通过：最小可判定对照 p = 0.07462686567164178"", ""全部有效对照均被击败，但强度/稳健性条件未全部满足，只能记为弱证据。""]","{""cohen_d"": 0.0502315305277159, ""event_count"": 975, ""excess_up_rate"": 0.448819, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.013897, ""mean_return"": -0.017324, ""median_return"": -0.009132, ""pending_fdr"": false, ""permutation_p"": 0.07462686567164178, ""sample_count"": 889, ""std_return"": 0.173493, ""up_rate"": 0.471316, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-ZW-CAL-001--listing_open_v1,HYP-ZW-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_open_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:35,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""ziwei""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": 0.013107381990894564, ""event_count"": 746, ""excess_up_rate"": 0.445428, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.020515, ""mean_return"": -0.022325, ""median_return"": -0.005265, ""pending_fdr"": false, ""permutation_p"": 0.3482587064676617, ""sample_count"": 678, ""std_return"": 0.175324, ""up_rate"": 0.485251, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-ZW-CAL-001--listing_close_v1,HYP-ZW-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_close_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:36,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""ziwei""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 1/5 类对照，结果不一致。""]","{""cohen_d"": -0.016597938369970203, ""event_count"": 791, ""excess_up_rate"": 0.440278, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.025834, ""mean_return"": -0.026758, ""median_return"": -0.008652, ""pending_fdr"": false, ""permutation_p"": 0.6915422885572139, ""sample_count"": 720, ""std_return"": 0.175185, ""up_rate"": 0.4625, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-ZW-CAL-001--ipo_approx_v1,HYP-ZW-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,ipo_approx_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:37,WEAK_EVIDENCE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""ziwei""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G8 未通过：有效年数 4，正向年份比例 0.25，符号一致性 0.75"", ""G7 未通过：最小可判定对照 p = 0.17412935323383086"", ""全部有效对照均被击败，但强度/稳健性条件未全部满足，只能记为弱证据。""]","{""cohen_d"": 0.024386666392979303, ""event_count"": 816, ""excess_up_rate"": 0.444145, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.018489, ""mean_return"": -0.021886, ""median_return"": -0.010516, ""pending_fdr"": false, ""permutation_p"": 0.17412935323383086, ""sample_count"": 743, ""std_return"": 0.176988, ""up_rate"": 0.46568, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-HL-RAW-001--listing_open_v1,HYP-HL-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_open_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:38,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""huangli""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": -0.09221018351944475, ""event_count"": 1500, ""excess_up_rate"": 0.410555, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.039415, ""mean_return"": -0.045222, ""median_return"": -0.024229, ""pending_fdr"": false, ""permutation_p"": 1.0, ""sample_count"": 1459, ""std_return"": 0.179554, ""up_rate"": 0.41878, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-HL-RAW-001--listing_close_v1,HYP-HL-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_close_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:39,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""huangli""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 1/5 类对照，结果不一致。""]","{""cohen_d"": -0.11634906056187662, ""event_count"": 1509, ""excess_up_rate"": 0.40776, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.043881, ""mean_return"": -0.04625, ""median_return"": -0.021472, ""pending_fdr"": false, ""permutation_p"": 1.0, ""sample_count"": 1469, ""std_return"": 0.183445, ""up_rate"": 0.425459, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-HL-RAW-001--ipo_approx_v1,HYP-HL-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,ipo_approx_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:40,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""huangli""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 2/5 类对照，结果不一致。""]","{""cohen_d"": -0.09564805353801781, ""event_count"": 1502, ""excess_up_rate"": 0.395476, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.040068, ""mean_return"": -0.044898, ""median_return"": -0.020524, ""pending_fdr"": false, ""permutation_p"": 1.0, ""sample_count"": 1459, ""std_return"": 0.180261, ""up_rate"": 0.425634, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-HL-CAL-001--listing_open_v1,HYP-HL-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_open_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:41,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""huangli""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": -0.14018820195058976, ""event_count"": 854, ""excess_up_rate"": 0.382318, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.047939, ""mean_return"": -0.055717, ""median_return"": -0.038217, ""pending_fdr"": false, ""permutation_p"": 1.0, ""sample_count"": 837, ""std_return"": 0.176619, ""up_rate"": 0.394265, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-HL-CAL-001--listing_close_v1,HYP-HL-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_close_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:42,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""huangli""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": -0.12819668726151479, ""event_count"": 701, ""excess_up_rate"": 0.383942, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.046164, ""mean_return"": -0.051312, ""median_return"": -0.028302, ""pending_fdr"": false, ""permutation_p"": 1.0, ""sample_count"": 685, ""std_return"": 0.189683, ""up_rate"": 0.423358, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-HL-CAL-001--ipo_approx_v1,HYP-HL-CAL-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,ipo_approx_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:44,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""calibrated"", ""engines"": [""huangli""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""single"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 2/5 类对照，结果不一致。""]","{""cohen_d"": -0.15452391741617325, ""event_count"": 856, ""excess_up_rate"": 0.365707, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.050449, ""mean_return"": -0.057218, ""median_return"": -0.036352, ""pending_fdr"": false, ""permutation_p"": 1.0, ""sample_count"": 834, ""std_return"": 0.173151, ""up_rate"": 0.396882, ""welch_p"": null}",,phase3d-experiments-v1
OOS3D--HYP-CON-BZ-ZW-RAW-001--listing_open_v1,HYP-CON-BZ-ZW-RAW-001,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,listing_open_v1,v1.1,cal-v1,phase3-oos-v1,2010-01-01..2018-12-31,2019-01-01..2022-12-31,2023-01-01..2026-08-14,20,20260918,2026-09-20T12:08:45,INCONCLUSIVE,True,"{""benchmark_code"": ""IDX000300"", ""birth_models"": [""listing_open_v1"", ""listing_close_v1"", ""ipo_approx_v1""], ""calibration_fit_hash"": ""7e9897570d3b5a28"", ""direction_source"": ""raw"", ""engines"": [""bazi"", ""ziwei""], ""expected_direction"": ""positive"", ""gate_version"": ""phase3d-oos-gate-v1"", ""horizons"": [5, 10, 20, 60], ""logic"": ""all_positive"", ""methodology"": ""Phase 3D fixed holdout OOS pipeline"", ""permutation_draws"": 200, ""split_fingerprint"": ""6a059b3dbe54f22d""}","[""G5 未通过：OOS 效应只击败 4/5 类对照，结果不一致。""]","{""cohen_d"": 0.023526884829845354, ""event_count"": 807, ""excess_up_rate"": 0.452804, ""gate_version"": ""phase3d-oos-gate-v1"", ""mean_excess_return"": -0.018664, ""mean_return"": -0.020238, ""median_return"": -0.003388, ""pending_fdr"": false, ""permutation_p"": 0.23880597014925373, ""sample_count"": 731, ""std_return"": 0.171769, ""up_rate"": 0.488372, ""welch_p"": null}",,phase3d-experiments-v1
